,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,fm,fd,Km,Kd,kbm,kbd,DNAtot,taum,taumRNA
1,5.97E-02,3.24E-01,4.77E-01,2.61E-03,2.03E-02,3.59E-03,2.34E+00,2.11E-02,4.07E+01,1.41E-06,2.53E-03,1.12E-03,1.43E-01,1.00E+00,0.00E+00,0.00E+00
2,2.74E-02,5.56E-02,2.04E-03,2.38E-02,1.21E-01,1.15E+02,1.24E-01,3.12E+01,6.95E+01,2.72E-04,2.38E-03,3.07E-03,5.28E-02,1.00E+00,0.00E+00,0.00E+00
3,5.67E-02,4.97E-02,4.83E-03,1.21E-03,2.33E-01,8.09E+00,1.76E-02,5.04E+00,5.27E+01,1.25E-04,6.02E-03,6.63E-02,1.50E-01,1.00E+00,0.00E+00,0.00E+00
4,3.04E+01,4.04E-02,2.74E+00,5.92E-04,1.74E-01,1.46E+01,4.97E-02,4.58E-01,2.63E+01,2.20E-04,3.16E-03,6.13E-03,2.97E-03,1.00E+00,0.00E+00,0.00E+00
5,1.99E-01,2.74E-02,1.80E-02,2.90E-03,2.34E-02,2.50E-01,1.47E-02,3.43E-03,6.64E+01,1.40E-05,1.67E-03,7.16E-03,1.36E-03,1.00E+00,0.00E+00,0.00E+00
6,8.87E-02,1.40E-01,3.61E-02,3.80E-03,1.44E-02,9.24E-02,1.04E-01,1.77E+01,7.80E+01,9.09E-06,3.18E-03,8.88E-03,1.88E-01,1.00E+00,0.00E+00,0.00E+00
7,1.17E-02,7.10E-02,1.05E-02,8.86E-03,1.39E-02,1.16E+00,6.10E-01,5.44E+00,6.01E+01,1.10E-05,2.71E-03,7.42E-03,1.62E-01,1.00E+00,0.00E+00,0.00E+00
8,1.49E-01,2.82E-01,6.90E-02,1.47E-03,1.30E-02,1.85E-02,9.24E-02,2.31E+00,6.72E+01,2.13E-03,5.73E-03,2.05E-02,1.50E+00,1.00E+00,0.00E+00,0.00E+00
9,2.39E-01,6.42E-01,7.16E-01,1.52E-03,1.76E-01,3.06E-03,3.42E-01,1.01E+01,5.48E+01,2.84E-02,3.76E-03,1.08E+00,7.30E-01,1.00E+00,0.00E+00,0.00E+00
10,4.81E-02,9.10E-01,2.43E-03,6.37E-04,2.82E-02,1.55E-02,1.92E-02,3.79E-02,6.85E+01,4.07E-02,5.57E-03,8.73E-01,5.88E-01,1.00E+00,0.00E+00,0.00E+00
11,5.22E+00,2.06E-01,1.88E-02,3.61E-02,5.02E-02,8.09E+02,3.54E-02,1.10E-01,8.34E+01,4.76E-05,8.77E-03,2.54E-03,6.28E-03,1.00E+00,0.00E+00,0.00E+00
12,2.76E-02,7.33E-01,1.83E-02,6.94E-03,9.19E-02,3.58E+00,9.50E-01,2.45E-03,9.82E+01,7.07E-05,8.43E-03,1.45E-03,1.32E-03,1.00E+00,0.00E+00,0.00E+00
13,2.12E-01,5.97E-01,2.79E-03,2.18E-02,1.14E-02,2.00E-03,1.11E-02,8.98E+00,8.18E+01,1.16E-03,3.09E-03,5.86E-01,2.29E-02,1.00E+00,0.00E+00,0.00E+00
14,1.25E-01,4.04E-01,7.83E-02,1.94E-03,1.37E-02,3.19E-01,7.10E-01,4.43E-03,5.19E+01,2.09E-04,7.92E-03,9.22E-03,1.00E-02,1.00E+00,0.00E+00,0.00E+00
15,3.18E-01,1.53E-01,2.35E+00,5.66E-04,6.34E-01,1.06E+00,1.24E+00,3.94E-03,4.25E+01,1.50E-03,5.46E-03,2.45E-01,1.23E+00,1.00E+00,0.00E+00,0.00E+00
16,4.38E-02,2.17E-01,1.23E-02,5.22E-04,8.34E-01,8.76E+01,3.37E-01,3.09E+01,5.62E+01,1.08E-04,6.07E-03,3.07E-03,9.30E-03,1.00E+00,0.00E+00,0.00E+00
17,2.06E+00,6.22E-01,4.36E+00,7.29E-03,9.94E-01,2.70E+01,2.33E+00,1.06E-01,9.27E+01,1.50E-04,7.73E-03,2.59E-02,3.12E+00,1.00E+00,0.00E+00,0.00E+00
18,9.28E-02,4.81E-03,6.45E-01,2.02E-03,3.33E-01,5.85E+02,6.99E-01,1.74E+01,9.60E+01,2.78E-05,4.36E-03,1.83E-02,2.67E+00,1.00E+00,0.00E+00,0.00E+00
19,1.09E+00,4.75E-01,1.34E+00,1.21E-03,2.79E-01,3.80E-01,3.63E-01,4.07E-03,7.75E+01,1.15E-02,4.00E-03,7.38E+00,1.04E-01,1.00E+00,0.00E+00,0.00E+00
20,1.02E+00,1.64E-02,3.43E+00,1.97E-03,3.16E-02,1.71E+00,4.19E-01,3.02E+01,5.92E+01,5.21E-05,3.52E-03,5.19E-02,7.20E-01,1.00E+00,0.00E+00,0.00E+00
21,5.95E+01,1.57E-01,4.51E-01,4.42E-03,1.76E-02,6.15E+00,1.74E-02,7.76E-03,4.67E+01,7.83E-04,5.45E-03,2.28E-03,5.12E+00,1.00E+00,0.00E+00,0.00E+00
22,2.59E+00,3.00E-01,7.10E-01,1.65E-03,1.28E-02,1.47E+00,4.77E-01,1.89E-03,5.51E+01,1.65E-04,7.10E-03,1.59E-02,2.29E+00,1.00E+00,0.00E+00,0.00E+00
23,2.52E-02,1.32E-02,7.10E-02,1.55E-03,1.94E-01,1.31E+01,4.10E-01,5.22E-03,5.33E+01,2.68E-03,3.12E-03,1.00E-03,1.20E+00,1.00E+00,0.00E+00,0.00E+00
24,1.40E+00,5.26E-03,1.92E+00,1.49E-03,1.78E-02,3.02E+01,4.95E-01,2.58E-01,2.90E+01,4.71E-05,3.29E-03,3.16E-03,2.36E-02,1.00E+00,0.00E+00,0.00E+00
25,2.06E-01,1.73E-01,6.93E+00,5.65E-04,5.90E-02,5.52E-03,1.92E+00,1.61E-02,7.50E+01,1.13E-01,2.73E-03,1.41E+00,2.22E-01,1.00E+00,0.00E+00,0.00E+00
26,1.40E+00,3.23E-01,1.66E-01,2.30E-02,1.72E-02,4.48E+02,3.07E+00,3.66E+01,5.91E+01,4.27E-05,8.25E-03,3.18E-03,1.98E-01,1.00E+00,0.00E+00,0.00E+00
27,8.52E-01,2.00E-01,7.16E-01,6.23E-03,1.79E-01,1.08E+00,2.88E-01,9.99E-01,7.61E+01,8.36E-04,5.10E-03,1.17E-01,3.63E-03,1.00E+00,0.00E+00,0.00E+00
28,7.43E+00,1.54E-01,1.81E-01,8.71E-04,6.18E-02,7.86E+00,1.36E-02,9.89E+01,9.32E+01,8.20E-05,8.15E-03,3.86E-02,3.76E+00,1.00E+00,0.00E+00,0.00E+00
29,5.02E-01,2.41E-01,4.80E-01,1.08E-02,4.28E-02,3.34E+01,3.82E+00,2.84E+00,5.30E+01,2.77E-04,8.72E-03,1.69E-02,1.07E-02,1.00E+00,0.00E+00,0.00E+00
30,1.21E+00,2.50E-01,1.45E+00,2.34E-02,3.37E-01,6.66E+00,2.34E+00,2.76E-01,5.63E+01,6.30E-04,1.70E-03,1.29E-03,1.46E-02,1.00E+00,0.00E+00,0.00E+00
31,5.22E-02,3.66E-01,1.09E+00,7.49E-04,6.45E-02,2.82E-02,7.83E+00,1.06E+01,2.47E+01,1.14E-04,4.65E-03,7.39E-03,2.38E-02,1.00E+00,0.00E+00,0.00E+00
32,7.93E+00,1.17E-01,1.95E+00,5.68E-04,9.64E-02,5.64E-01,5.48E-02,1.00E+01,4.28E+01,1.19E-04,5.32E-03,3.33E-02,1.46E-03,1.00E+00,0.00E+00,0.00E+00
33,1.60E+00,7.83E-02,1.57E+00,7.77E-03,2.37E-02,7.56E-01,3.76E-01,2.46E-03,9.01E+01,9.49E-05,2.31E-03,3.01E-02,1.42E+00,1.00E+00,0.00E+00,0.00E+00
34,6.08E-01,7.47E-02,2.33E-01,6.25E-04,5.25E-01,7.39E+01,1.55E-01,4.71E-01,7.66E+01,3.93E-03,9.23E-03,3.43E-01,6.31E-03,1.00E+00,0.00E+00,0.00E+00
35,3.77E+00,5.30E-01,1.45E+00,5.31E-03,4.21E-01,1.75E+02,4.14E+00,4.55E-03,4.66E+01,5.55E-03,6.88E-03,3.71E-03,3.42E+00,1.00E+00,0.00E+00,0.00E+00
36,6.39E-01,2.13E-01,3.66E-02,7.00E-03,1.63E-02,3.39E+02,1.25E+00,7.47E+00,4.22E+01,4.64E-06,7.40E-03,2.11E-03,3.61E-02,1.00E+00,0.00E+00,0.00E+00
37,1.10E+01,2.73E-01,4.94E-02,2.81E-03,1.40E-02,1.66E+01,1.74E-02,1.39E+01,6.54E+01,1.04E-05,1.13E-02,1.05E-03,2.43E-03,1.00E+00,0.00E+00,0.00E+00
38,1.81E+01,1.51E-01,3.98E-01,2.16E-03,3.68E-02,1.65E+00,2.98E-02,1.69E-03,3.13E+01,2.48E-03,3.90E-03,9.31E-02,1.85E-02,1.00E+00,0.00E+00,0.00E+00
39,7.27E-02,3.95E-02,2.58E-02,1.78E-03,2.22E-02,9.33E+02,5.29E+00,4.38E-02,1.86E+01,9.15E-06,4.08E-03,1.07E-03,4.04E-03,1.00E+00,0.00E+00,0.00E+00
40,1.31E-02,3.57E-02,1.92E-02,8.20E-03,5.88E-01,7.42E+01,1.55E+00,1.38E-01,4.11E+01,5.61E-05,1.29E-03,2.79E-02,3.61E-02,1.00E+00,0.00E+00,0.00E+00
41,5.10E-01,5.20E-02,6.20E-03,1.36E-03,2.17E-01,6.20E+01,1.04E-02,9.68E-02,3.78E+01,2.04E-04,4.16E-03,4.69E-02,8.20E-01,1.00E+00,0.00E+00,0.00E+00
42,2.33E+01,1.31E-01,2.25E+00,6.21E-04,1.24E-01,3.39E-01,2.13E-02,9.84E-01,3.31E+01,1.95E-05,6.39E-03,1.47E-03,1.83E-03,1.00E+00,0.00E+00,0.00E+00
43,4.48E-02,4.77E-02,1.89E-02,6.30E-03,2.13E-01,1.80E+01,5.16E-01,5.92E-03,3.85E+01,1.11E-03,1.21E-03,3.32E-03,6.99E-01,1.00E+00,0.00E+00,0.00E+00
44,6.25E-01,3.90E-01,3.08E-02,1.55E-03,9.94E-02,1.80E-01,2.77E-02,1.16E+00,3.15E+01,3.55E-03,6.52E-03,1.04E+00,1.45E-03,1.00E+00,0.00E+00,0.00E+00
45,1.49E+00,6.42E-01,2.61E-03,3.06E-03,3.38E-02,7.26E+00,1.12E-02,4.81E-02,4.21E+01,4.69E-05,8.92E-03,3.73E-02,4.91E-03,1.00E+00,0.00E+00,0.00E+00
46,4.14E+01,8.46E-01,2.58E+00,5.51E-04,1.91E-02,2.56E-01,2.62E-01,1.42E-03,2.36E+01,2.04E-04,5.45E-03,6.66E-02,4.50E-03,1.00E+00,0.00E+00,0.00E+00
47,4.71E-01,4.49E-01,6.90E-02,1.71E-02,4.25E-02,8.31E-01,2.55E-01,4.53E-01,5.40E+01,8.23E-05,4.49E-03,1.25E-03,1.64E-03,1.00E+00,0.00E+00,0.00E+00
48,1.43E-01,2.32E-01,3.19E+00,1.30E-03,4.47E-01,1.20E+01,9.27E+00,1.05E+00,9.08E+01,2.82E-03,8.20E-03,2.30E+00,7.51E-03,1.00E+00,0.00E+00,0.00E+00
49,5.76E-01,3.08E-03,5.72E+00,1.13E-03,1.41E-02,5.39E+00,7.83E-01,3.29E+00,5.79E+01,2.31E-05,2.58E-03,1.17E-03,7.51E-01,1.00E+00,0.00E+00,0.00E+00
50,1.10E+01,1.41E-01,3.58E-01,5.28E-04,2.19E-02,9.36E+02,1.68E+00,1.37E-01,4.15E+01,7.59E-04,3.92E-03,5.43E-02,1.14E-02,1.00E+00,0.00E+00,0.00E+00
51,3.28E+01,3.02E-01,6.80E+00,5.89E-02,5.25E-01,1.02E+02,1.12E+00,1.09E+00,4.74E+01,7.71E-04,3.63E-03,3.59E-01,1.09E+00,1.00E+00,0.00E+00,0.00E+00
52,1.42E-02,1.62E-01,1.08E-03,7.54E-02,3.63E-02,7.13E+01,4.31E-01,2.62E-01,5.62E+01,1.14E-05,6.10E-03,1.26E-03,8.59E-02,1.00E+00,0.00E+00,0.00E+00
53,7.59E-01,6.24E-03,5.08E-01,2.07E-03,1.05E-02,1.44E+02,2.23E-01,6.90E-03,7.81E+01,8.50E-05,6.54E-03,1.24E-03,1.70E-03,1.00E+00,0.00E+00,0.00E+00
54,4.63E-01,1.05E-01,3.72E-02,4.41E-03,1.47E-02,1.96E+01,1.25E-01,1.97E-03,7.57E+01,2.60E-04,8.46E-03,1.15E-01,7.41E-03,1.00E+00,0.00E+00,0.00E+00
55,3.33E-01,9.70E-02,2.80E-02,1.24E-03,8.64E-01,8.04E+00,2.90E-02,1.09E-03,4.04E+01,1.92E-03,3.01E-03,3.32E-01,1.12E+00,1.00E+00,0.00E+00,0.00E+00
56,1.02E+02,3.15E-02,2.14E-01,3.36E-03,2.67E-02,2.83E+02,1.66E-02,4.98E-02,1.50E+01,1.37E-05,3.31E-03,1.31E-02,1.62E-01,1.00E+00,0.00E+00,0.00E+00
57,9.32E-02,2.73E-02,2.39E-02,1.39E-03,1.98E-01,5.86E+00,4.07E-02,4.54E+00,4.08E+01,3.27E-05,5.34E-03,6.80E-03,8.79E-01,1.00E+00,0.00E+00,0.00E+00
58,3.12E+00,5.44E-01,6.41E-01,1.83E-03,3.40E-01,7.88E-01,1.21E-01,1.53E+00,5.44E+01,7.94E-03,4.51E-03,1.11E-01,2.05E-01,1.00E+00,0.00E+00,0.00E+00
59,5.12E-01,9.74E-01,2.39E-03,7.32E-03,8.08E-01,7.91E+01,2.42E-02,1.06E-02,6.28E+01,1.84E-03,6.23E-03,2.34E-02,9.62E-03,1.00E+00,0.00E+00,0.00E+00
60,1.95E-01,2.61E-02,5.36E-01,1.16E-03,6.56E-01,7.31E+01,7.00E-01,2.22E-03,7.73E+01,1.24E-02,4.81E-03,3.85E-02,2.99E-02,1.00E+00,0.00E+00,0.00E+00
61,2.40E+00,6.26E-01,5.88E-03,1.10E-02,3.92E-02,2.19E+01,2.11E-02,1.18E-03,6.67E+01,1.58E-03,5.89E-03,3.97E-01,2.41E+00,1.00E+00,0.00E+00,0.00E+00
62,3.20E+00,1.81E-02,1.48E-01,1.17E-03,8.99E-01,3.76E+01,1.26E-02,4.34E-02,5.19E+01,6.18E-03,1.35E-03,1.36E-02,1.26E+00,1.00E+00,0.00E+00,0.00E+00
63,8.52E+00,2.56E-01,4.43E-01,3.70E-03,1.92E-01,6.80E+01,2.81E-01,1.30E+00,4.23E+01,1.77E-03,3.31E-03,1.03E-01,1.10E-02,1.00E+00,0.00E+00,0.00E+00
64,5.33E-02,7.59E-01,1.63E-03,8.21E-02,4.19E-02,1.20E+02,1.08E+00,4.89E+01,4.24E+01,7.75E-05,3.85E-03,1.53E-03,1.70E-01,1.00E+00,0.00E+00,0.00E+00
65,1.43E+00,7.14E-01,9.93E-03,5.60E-02,2.53E-01,6.20E+02,3.24E-01,1.16E-03,9.71E+01,5.83E-03,3.43E-03,5.15E+00,1.53E-01,1.00E+00,0.00E+00,0.00E+00
66,5.27E-02,3.95E-02,1.11E-01,7.78E-04,5.79E-01,5.46E+01,2.63E-01,2.87E+00,9.33E+01,1.81E-05,9.37E-03,1.66E-03,2.75E-03,1.00E+00,0.00E+00,0.00E+00
67,2.57E+00,3.66E-01,6.24E-02,1.82E-03,4.27E-02,6.21E+00,1.43E-01,2.68E-02,2.34E+01,2.04E-05,5.25E-03,1.70E-03,1.90E-02,1.00E+00,0.00E+00,0.00E+00
68,1.72E-02,3.15E-01,3.48E-03,7.41E-03,6.13E-01,6.94E+00,2.02E-01,9.23E-01,4.24E+01,4.04E-06,5.59E-03,1.78E-03,1.10E-03,1.00E+00,0.00E+00,0.00E+00
69,8.19E-01,5.89E-02,7.41E-02,6.57E-04,2.01E-01,1.67E+02,1.51E-01,4.71E-01,5.04E+01,3.69E-03,5.62E-03,1.59E-02,2.23E-02,1.00E+00,0.00E+00,0.00E+00
70,1.24E-02,6.25E-01,4.89E-01,5.71E-04,5.54E-02,2.41E-02,5.61E+00,3.70E-03,9.48E+01,1.95E-02,9.19E-03,1.30E-02,5.24E-01,1.00E+00,0.00E+00,0.00E+00
71,2.65E+01,9.39E-01,6.96E-01,3.85E-03,3.52E-02,4.94E-01,1.32E-01,1.36E+00,4.24E+01,2.08E-02,3.33E-03,1.63E-01,9.79E-03,1.00E+00,0.00E+00,0.00E+00
72,3.75E-02,8.77E-01,7.97E-03,3.75E-02,2.60E-02,2.06E+02,8.20E+00,7.14E+00,6.06E+01,1.90E-04,9.80E-03,2.16E-02,5.87E-03,1.00E+00,0.00E+00,0.00E+00
73,8.46E+00,3.10E-01,7.52E+00,6.17E-04,7.89E-01,7.82E+00,1.20E+00,6.90E-01,2.60E+01,1.09E-03,4.00E-03,9.75E-03,7.10E-01,1.00E+00,0.00E+00,0.00E+00
74,5.47E+00,3.89E-01,8.19E-01,3.48E-02,3.12E-02,3.27E+00,7.27E-01,3.80E+01,4.09E+01,3.82E-04,3.28E-03,2.15E-03,2.32E-03,1.00E+00,0.00E+00,0.00E+00
75,1.17E-01,4.45E-01,1.06E-02,1.36E-03,5.88E-01,3.21E-01,6.22E-02,9.54E-02,2.05E+01,3.97E-03,3.34E-03,3.62E-02,1.03E-02,1.00E+00,0.00E+00,0.00E+00
76,5.37E-02,6.18E-02,1.85E-01,2.04E-03,6.18E-02,1.47E+00,1.99E+00,3.51E-03,2.71E+01,3.74E-04,2.76E-03,2.07E-01,5.38E-03,1.00E+00,0.00E+00,0.00E+00
77,1.67E-02,2.44E-02,1.75E-01,1.03E-03,1.07E-02,8.28E-02,1.28E+00,2.55E-01,4.48E+01,2.47E-03,2.13E-03,1.61E+00,1.92E-02,1.00E+00,0.00E+00,0.00E+00
78,1.83E+00,6.67E-01,6.23E-01,9.54E-03,1.05E-01,1.69E+02,7.56E+00,6.01E-03,8.82E+01,4.92E-03,4.94E-03,9.15E-03,3.07E-02,1.00E+00,0.00E+00,0.00E+00
79,1.88E+00,7.10E-01,3.93E-02,1.25E-03,1.47E-02,8.33E+01,1.01E+00,3.70E-02,3.30E+01,5.41E-06,7.26E-03,1.70E-03,1.06E+00,1.00E+00,0.00E+00,0.00E+00
80,2.36E+01,1.94E-01,4.18E+00,7.75E-04,3.35E-02,2.14E+01,4.60E-01,1.55E-03,5.47E+01,5.10E-05,7.97E-03,2.84E-02,1.20E-02,1.00E+00,0.00E+00,0.00E+00
81,1.75E+00,1.14E-01,2.42E-02,9.46E-03,5.26E-01,6.90E+01,1.61E-02,1.07E-01,4.52E+01,4.28E-04,6.25E-03,2.61E-02,1.26E-02,1.00E+00,0.00E+00,0.00E+00
82,1.06E+00,8.41E-01,1.56E-01,2.94E-03,1.24E-02,3.36E-02,1.62E-01,1.61E+01,4.14E+01,2.17E-05,7.64E-03,4.76E-03,6.47E-03,1.00E+00,0.00E+00,0.00E+00
83,5.30E+00,3.81E-03,6.15E-01,5.30E-04,1.78E-02,2.19E+02,3.42E-02,1.80E+00,5.07E+01,5.37E-05,4.53E-03,3.12E-02,3.41E-01,1.00E+00,0.00E+00,0.00E+00
84,1.85E+00,4.03E-01,6.40E-02,4.78E-03,2.07E-02,1.82E+02,4.51E-01,1.96E-03,9.30E+01,4.55E-05,5.83E-03,6.52E-03,2.38E-01,1.00E+00,0.00E+00,0.00E+00
85,4.38E+00,1.33E-01,8.32E-01,1.50E-03,3.14E-01,2.31E+02,1.60E+00,1.20E-03,1.58E+01,9.11E-05,3.10E-03,2.47E-02,3.28E-01,1.00E+00,0.00E+00,0.00E+00
86,2.23E-02,6.14E-02,1.09E-03,2.51E-03,1.08E-01,3.07E+00,1.66E-02,2.20E+00,3.95E+01,3.40E-06,5.22E-03,2.93E-03,1.81E+00,1.00E+00,0.00E+00,0.00E+00
87,1.02E-01,1.81E-02,1.38E-02,3.61E-03,7.51E-01,1.26E+02,3.02E-02,2.48E+00,7.48E+01,1.76E-04,2.35E-03,3.69E-02,5.16E-03,1.00E+00,0.00E+00,0.00E+00
88,7.46E+01,3.78E-02,1.79E-01,8.62E-04,2.92E-02,7.99E+02,1.85E-02,7.29E-01,3.40E+01,1.87E-04,3.95E-03,5.34E-02,7.26E-02,1.00E+00,0.00E+00,0.00E+00
89,2.78E-02,2.13E-02,4.66E-03,6.79E-04,3.36E-01,3.22E+02,1.19E-01,6.77E-02,4.85E+01,1.85E-03,3.67E-03,1.10E+00,5.65E-01,1.00E+00,0.00E+00,0.00E+00
90,2.81E+00,3.16E-01,6.84E-01,9.51E-04,4.71E-01,4.98E+00,4.05E-01,9.80E+00,2.33E+01,2.17E-03,3.33E-03,1.72E-03,1.49E-03,1.00E+00,0.00E+00,0.00E+00
91,1.59E-01,3.83E-03,4.27E+00,1.11E-03,1.13E-02,1.41E+00,2.06E+00,9.26E-02,5.66E+01,2.35E-05,1.85E-03,5.31E-03,1.48E-03,1.00E+00,0.00E+00,0.00E+00
92,1.09E-02,2.31E-01,1.14E-02,5.53E-03,1.42E-02,1.43E-01,5.58E-01,7.03E-02,5.90E+01,2.68E-04,5.97E-03,4.55E-03,4.54E-01,1.00E+00,0.00E+00,0.00E+00
93,1.46E+00,7.77E-02,6.46E-01,1.26E-03,5.82E-01,8.76E-01,6.62E-02,3.71E-02,7.50E+01,2.88E-02,1.53E-03,2.12E-03,1.05E+00,1.00E+00,0.00E+00,0.00E+00
94,2.24E-01,1.48E-01,1.07E-02,1.20E-03,6.26E-02,5.89E+00,2.65E-02,1.16E+00,8.30E+01,3.15E-04,6.03E-03,2.12E-01,1.76E+00,1.00E+00,0.00E+00,0.00E+00
95,3.27E+00,7.89E-02,2.59E+00,9.96E-04,9.94E-01,1.28E+00,5.15E-02,9.19E-01,6.18E+01,1.56E-03,6.30E-03,1.00E-02,1.21E-03,1.00E+00,0.00E+00,0.00E+00
96,3.25E+00,3.41E-02,1.05E-01,8.18E-03,1.59E-01,1.79E+02,2.82E-02,1.06E+00,8.83E+01,1.46E-03,3.26E-03,1.89E-01,1.39E+00,1.00E+00,0.00E+00,0.00E+00
97,3.09E-02,1.97E-01,2.14E-01,6.98E-04,3.22E-02,5.16E-03,5.09E-01,9.43E-02,8.07E+01,1.01E-01,3.20E-03,1.38E-03,3.29E-03,1.00E+00,0.00E+00,0.00E+00
98,2.33E-01,4.28E-01,1.23E-01,1.27E-03,4.33E-01,5.83E+02,5.38E+00,6.36E-03,4.77E+01,5.58E-04,8.06E-03,1.68E-01,1.33E-03,1.00E+00,0.00E+00,0.00E+00
99,2.73E+01,7.65E-01,6.99E-01,8.07E-04,7.33E-01,3.31E+01,1.26E-01,3.56E-03,3.08E+01,1.47E-04,6.65E-03,1.67E-03,1.58E-02,1.00E+00,0.00E+00,0.00E+00
100,1.73E+00,2.72E-01,4.32E+00,1.81E-03,3.51E-02,1.84E-02,6.60E-01,2.74E-02,3.75E+01,6.08E-05,4.19E-03,2.51E-02,2.57E-03,1.00E+00,0.00E+00,0.00E+00