,p1_log10(par),p1_per,p1_min,p1_max,p2_log10(par),p2_per,p2_min,p2_max,p3_log10(par),p3_per,p3_min,p3_max,p4_log10(par),p4_per,p4_min,p4_max,p5_log10(par),p5_per,p5_min,p5_max,p6_log10(par),p6_per,p6_min,p6_max,p7_log10(par),p7_per,p7_min,p7_max,p8_log10(par),p8_per,p8_min,p8_max,p9_log10(par),p9_per,p9_min,p9_max,p10_log10(par),p10_per,p10_min,p10_max,p11_log10(par),p11_per,p11_min,p11_max,p12_log10(par),p12_per,p12_min,p12_max,p13_log10(par),p13_per,p13_min,p13_max,p14_log10(par),p14_per,p14_min,p14_max,p15_log10(par),p15_per,p15_min,p15_max,p16_log10(par),p16_per,p16_min,p16_max,p17_log10(par),p17_per,p17_min,p17_max,p18_log10(par),p18_per,p18_min,p18_max,p19_log10(par),p19_per,p19_min,p19_max,p20_log10(par),p20_per,p20_min,p20_max,p21_log10(par),p21_per,p21_min,p21_max,p22_log10(par),p22_per,p22_min,p22_max,p23_log10(par),p23_per,p23_min,p23_max,p24_log10(par),p24_per,p24_min,p24_max,p25_log10(par),p25_per,p25_min,p25_max,p26_log10(par),p26_per,p26_min,p26_max,p27_log10(par),p27_per,p27_min,p27_max,p28_log10(par),p28_per,p28_min,p28_max,p29_log10(par),p29_per,p29_min,p29_max,p30_log10(par),p30_per,p30_min,p30_max,p31_log10(par),p31_per,p31_min,p31_max,p32_log10(par),p32_per,p32_min,p32_max,p33_log10(par),p33_per,p33_min,p33_max,p34_log10(par),p34_per,p34_min,p34_max,p35_log10(par),p35_per,p35_min,p35_max,p36_log10(par),p36_per,p36_min,p36_max,p37_log10(par),p37_per,p37_min,p37_max,p38_log10(par),p38_per,p38_min,p38_max,p39_log10(par),p39_per,p39_min,p39_max,p40_log10(par),p40_per,p40_min,p40_max,p41_log10(par),p41_per,p41_min,p41_max,p42_log10(par),p42_per,p42_min,p42_max,p43_log10(par),p43_per,p43_min,p43_max,p44_log10(par),p44_per,p44_min,p44_max,p45_log10(par),p45_per,p45_min,p45_max,p46_log10(par),p46_per,p46_min,p46_max,p47_log10(par),p47_per,p47_min,p47_max,p48_log10(par),p48_per,p48_min,p48_max,p49_log10(par),p49_per,p49_min,p49_max,p50_log10(par),p50_per,p50_min,p50_max
beta,5.900E-02,1.056E+02,8.774E-03,8.774E-03,9.265E-02,1.027E+02,1.081E-02,1.081E-02,1.263E-01,1.782E+03,1.349E-02,1.349E-02,1.599E-01,2.150E+01,1.714E-02,1.714E-02,1.936E-01,2.105E+02,2.235E-02,2.235E-02,2.272E-01,1.318E+02,3.023E-02,3.023E-02,2.441E-01,1.274E+02,3.583E-02,3.583E-02,2.609E-01,1.180E+01,4.317E-02,4.317E-02,2.777E-01,2.242E+02,5.299E-02,5.299E-02,2.945E-01,1.596E+02,6.629E-02,6.629E-02,3.114E-01,2.368E+02,8.182E-02,8.622E-02,3.282E-01,2.249E+02,3.808E-02,3.349E-01,3.450E-01,2.042E+02,3.243E-02,6.305E-01,3.618E-01,1.875E+02,3.194E-02,9.029E-01,3.787E-01,1.743E+02,3.305E-02,1.156E+00,3.850E-01,1.701E+02,3.373E-02,1.247E+00,3.914E-01,1.661E+02,3.454E-02,1.337E+00,3.978E-01,1.625E+02,3.549E-02,1.425E+00,4.041E-01,1.590E+02,3.658E-02,1.511E+00,4.105E-01,1.558E+02,3.782E-02,1.595E+00,4.169E-01,1.528E+02,3.922E-02,1.677E+00,4.232E-01,1.499E+02,4.081E-02,1.758E+00,4.296E-01,1.472E+02,4.262E-02,1.835E+00,4.360E-01,1.447E+02,4.469E-02,1.910E+00,4.423E-01,1.421E+02,4.706E-02,1.981E+00,4.487E-01,1.399E+02,4.981E-02,2.048E+00,4.551E-01,1.376E+02,5.301E-02,2.109E+00,4.614E-01,1.353E+02,5.680E-02,2.164E+00,4.678E-01,1.332E+02,6.132E-02,2.210E+00,4.742E-01,1.309E+02,6.683E-02,2.245E+00,4.806E-01,1.287E+02,7.365E-02,2.266E+00,4.869E-01,1.264E+02,8.232E-02,2.268E+00,4.933E-01,1.239E+02,9.367E-02,2.244E+00,4.997E-01,1.212E+02,1.091E-01,2.187E+00,5.060E-01,1.181E+02,1.311E-01,2.082E+00,5.124E-01,1.145E+02,1.650E-01,1.913E+00,5.168E-01,1.118E+02,2.010E-01,1.746E+00,5.211E-01,1.085E+02,2.577E-01,1.520E+00,5.255E-01,1.050E+02,3.578E-01,1.226E+00,5.299E-01,1.021E+02,5.191E-01,9.307E-01,5.342E-01,1.004E+02,6.548E-01,7.812E-01,5.386E-01,9.920E+01,7.223E-01,7.521E-01,5.430E-01,9.800E+01,7.535E-01,7.602E-01,5.473E-01,9.690E+01,7.765E-01,7.778E-01,5.517E-01,9.570E+01,7.980E-01,7.982E-01,5.605E-01,1.642E+02,8.410E-01,8.410E-01,5.692E-01,1.282E+02,8.856E-01,8.856E-01,5.779E-01,1.434E+02,9.318E-01,9.318E-01,5.867E-01,1.143E+02,9.797E-01,9.797E-01,5.954E-01,1.769E+02,1.029E+00,1.029E+00
gammam,-7.823E-01,1.445E+02,9.307E-01,9.307E-01,-7.584E-01,2.262E+02,8.173E-01,8.173E-01,-7.345E-01,9.750E+01,7.129E-01,7.129E-01,-7.106E-01,1.196E+02,6.169E-01,6.170E-01,-6.867E-01,1.266E+02,4.190E-01,6.602E-01,-6.628E-01,1.415E+02,1.155E-01,1.406E+00,-6.389E-01,1.508E+02,6.721E-02,1.530E+00,-6.150E-01,1.591E+02,4.886E-02,1.433E+00,-5.911E-01,1.689E+02,3.957E-02,1.241E+00,-5.672E-01,1.820E+02,3.446E-02,9.922E-01,-5.194E-01,2.261E+02,3.841E-02,3.069E-01,-4.716E-01,2.974E+02,5.311E-02,5.311E-02,-4.238E-01,1.090E+02,3.112E-02,3.112E-02,-3.760E-01,2.153E+02,2.040E-02,2.040E-02,-3.282E-01,3.370E+01,1.429E-02,1.429E-02,-3.375E-01,1.070E+03,1.525E-02,1.525E-02,-3.467E-01,3.008E+03,1.631E-02,1.631E-02,-3.560E-01,2.968E+02,1.746E-02,1.746E-02,-3.652E-01,2.690E+02,1.874E-02,1.874E-02,-3.745E-01,1.318E+03,2.015E-02,2.015E-02,-3.837E-01,1.558E+02,2.172E-02,2.172E-02,-3.930E-01,5.061E+02,2.347E-02,2.347E-02,-4.022E-01,,,,-4.115E-01,1.077E+02,2.767E-02,2.767E-02,-4.207E-01,2.565E+02,3.020E-02,3.020E-02,-4.300E-01,3.850E+01,3.309E-02,3.309E-02,-4.392E-01,1.961E+02,3.642E-02,3.642E-02,-4.485E-01,2.940E+01,4.029E-02,4.029E-02,-4.577E-01,1.069E+02,4.480E-02,4.480E-02,-4.670E-01,1.958E+02,5.011E-02,5.011E-02,-4.762E-01,6.517E+02,5.637E-02,5.637E-02,-4.855E-01,1.544E+02,6.376E-02,6.376E-02,-4.947E-01,2.339E+02,7.245E-02,7.246E-02,-5.040E-01,2.328E+02,8.044E-02,8.519E-02,-5.132E-01,2.315E+02,4.687E-02,2.006E-01,-5.225E-01,2.227E+02,3.632E-02,3.596E-01,-5.189E-01,2.266E+02,3.883E-02,2.984E-01,-5.153E-01,2.300E+02,4.298E-02,2.369E-01,-5.118E-01,2.322E+02,5.068E-02,1.753E-01,-5.082E-01,2.326E+02,6.699E-02,1.164E-01,-5.046E-01,2.327E+02,8.003E-02,8.732E-02,-5.011E-01,2.332E+02,7.883E-02,7.959E-02,-4.975E-01,2.336E+02,7.530E-02,7.536E-02,-4.939E-01,2.338E+02,7.164E-02,7.164E-02,-4.904E-01,2.000E+00,6.817E-02,6.817E-02,-4.832E-01,2.140E+02,6.183E-02,6.183E-02,-4.761E-01,4.083E+02,5.625E-02,5.625E-02,-4.689E-01,2.089E+02,5.135E-02,5.135E-02,-4.618E-01,1.683E+02,4.703E-02,4.703E-02,-4.547E-01,1.710E+02,4.322E-02,4.322E-02
gammamRNA,-5.158E-01,1.572E+02,9.056E-01,9.056E-01,-5.015E-01,1.709E+02,8.322E-01,8.322E-01,-4.871E-01,1.044E+02,7.631E-01,7.631E-01,-4.728E-01,1.082E+02,6.944E-01,7.012E-01,-4.584E-01,1.129E+02,4.460E-01,8.986E-01,-4.441E-01,1.233E+02,1.716E-01,1.639E+00,-4.298E-01,1.308E+02,1.052E-01,1.940E+00,-4.154E-01,1.365E+02,7.681E-02,2.014E+00,-4.011E-01,1.414E+02,6.131E-02,1.975E+00,-3.867E-01,1.462E+02,5.166E-02,1.876E+00,-3.581E-01,1.570E+02,4.049E-02,1.587E+00,-3.294E-01,1.713E+02,3.463E-02,1.234E+00,-3.007E-01,1.918E+02,3.209E-02,8.320E-01,-2.720E-01,2.226E+02,3.692E-02,3.597E-01,-2.433E-01,2.367E+02,7.212E-02,7.212E-02,-2.448E-01,2.365E+02,7.365E-02,7.366E-02,-2.463E-01,2.363E+02,7.521E-02,7.523E-02,-2.478E-01,2.361E+02,7.679E-02,7.686E-02,-2.493E-01,2.358E+02,7.837E-02,7.856E-02,-2.508E-01,2.354E+02,7.985E-02,8.042E-02,-2.523E-01,2.352E+02,8.101E-02,8.264E-02,-2.537E-01,2.348E+02,8.131E-02,8.577E-02,-2.552E-01,2.344E+02,7.975E-02,9.107E-02,-2.567E-01,2.341E+02,7.512E-02,1.009E-01,-2.582E-01,2.341E+02,6.764E-02,1.179E-01,-2.597E-01,2.338E+02,5.999E-02,1.413E-01,-2.612E-01,2.333E+02,5.356E-02,1.674E-01,-2.627E-01,2.324E+02,4.900E-02,1.937E-01,-2.641E-01,2.312E+02,4.568E-02,2.199E-01,-2.656E-01,2.298E+02,4.316E-02,2.461E-01,-2.671E-01,2.283E+02,4.118E-02,2.724E-01,-2.686E-01,2.267E+02,3.958E-02,2.987E-01,-2.701E-01,2.250E+02,3.829E-02,3.251E-01,-2.716E-01,2.232E+02,3.722E-02,3.515E-01,-2.730E-01,2.215E+02,3.632E-02,3.778E-01,-2.745E-01,2.196E+02,3.558E-02,4.041E-01,-2.705E-01,2.245E+02,3.793E-02,3.332E-01,-2.665E-01,2.290E+02,4.189E-02,2.623E-01,-2.625E-01,2.324E+02,4.930E-02,1.918E-01,-2.585E-01,2.340E+02,6.631E-02,1.229E-01,-2.545E-01,2.346E+02,8.079E-02,8.824E-02,-2.505E-01,2.355E+02,7.964E-02,8.012E-02,-2.465E-01,2.363E+02,7.546E-02,7.548E-02,-2.425E-01,2.371E+02,7.132E-02,7.132E-02,-2.386E-01,2.309E+02,6.744E-02,6.744E-02,-2.306E-01,2.922E+02,6.046E-02,6.046E-02,-2.226E-01,3.032E+02,5.442E-02,5.442E-02,-2.146E-01,4.310E+01,4.920E-02,4.920E-02,-2.066E-01,2.508E+02,4.467E-02,4.467E-02,-1.986E-01,5.130E+01,4.073E-02,4.073E-02
gammad,-3.301E+00,1.961E+02,3.129E-02,8.750E-01,-3.249E+00,1.962E+02,3.129E-02,8.744E-01,-3.197E+00,1.962E+02,3.129E-02,8.737E-01,-3.145E+00,1.962E+02,3.129E-02,8.729E-01,-3.093E+00,1.962E+02,3.129E-02,8.720E-01,-3.041E+00,1.963E+02,3.129E-02,8.709E-01,-2.989E+00,1.964E+02,3.129E-02,8.698E-01,-2.938E+00,1.964E+02,3.130E-02,8.685E-01,-2.886E+00,1.964E+02,3.130E-02,8.670E-01,-2.834E+00,1.965E+02,3.130E-02,8.654E-01,-2.782E+00,1.965E+02,3.130E-02,8.635E-01,-2.730E+00,1.965E+02,3.131E-02,8.614E-01,-2.678E+00,1.967E+02,3.131E-02,8.591E-01,-2.626E+00,1.967E+02,3.132E-02,8.565E-01,-2.574E+00,1.969E+02,3.132E-02,8.535E-01,-2.522E+00,1.970E+02,3.133E-02,8.501E-01,-2.470E+00,1.971E+02,3.133E-02,8.463E-01,-2.418E+00,1.973E+02,3.134E-02,8.421E-01,-2.366E+00,1.974E+02,3.135E-02,8.373E-01,-2.314E+00,1.976E+02,3.136E-02,8.320E-01,-2.262E+00,1.977E+02,3.138E-02,8.259E-01,-2.211E+00,1.980E+02,3.139E-02,8.192E-01,-2.159E+00,1.982E+02,3.141E-02,8.115E-01,-2.107E+00,1.985E+02,3.144E-02,8.030E-01,-2.055E+00,1.988E+02,3.147E-02,7.934E-01,-2.003E+00,1.992E+02,3.150E-02,7.826E-01,-1.951E+00,1.997E+02,3.155E-02,7.705E-01,-1.899E+00,2.001E+02,3.160E-02,7.570E-01,-1.847E+00,2.007E+02,3.166E-02,7.418E-01,-1.795E+00,2.013E+02,3.174E-02,7.249E-01,-1.743E+00,2.020E+02,3.184E-02,7.059E-01,-1.691E+00,2.029E+02,3.197E-02,6.847E-01,-1.639E+00,2.038E+02,3.213E-02,6.611E-01,-1.587E+00,2.048E+02,3.233E-02,6.348E-01,-1.535E+00,2.059E+02,3.260E-02,6.055E-01,-1.484E+00,2.073E+02,3.295E-02,5.730E-01,-1.432E+00,2.088E+02,3.341E-02,5.370E-01,-1.380E+00,2.105E+02,3.404E-02,4.973E-01,-1.328E+00,2.125E+02,3.490E-02,4.536E-01,-1.276E+00,2.147E+02,3.613E-02,4.058E-01,-1.224E+00,2.170E+02,3.793E-02,3.538E-01,-1.199E+00,2.182E+02,3.911E-02,3.275E-01,-1.174E+00,2.194E+02,4.058E-02,3.003E-01,-1.149E+00,2.205E+02,4.246E-02,2.722E-01,-1.124E+00,2.216E+02,4.491E-02,2.434E-01,-1.100E+00,2.227E+02,4.825E-02,2.136E-01,-1.075E+00,2.235E+02,5.304E-02,1.826E-01,-1.050E+00,2.241E+02,6.043E-02,1.501E-01,-1.025E+00,2.243E+02,7.125E-02,1.190E-01,-1.000E+00,2.241E+02,8.113E-02,9.833E-02
alphaass,-1.933E+00,3.867E+02,2.248E-02,2.248E-02,-1.873E+00,3.087E+02,2.935E-02,2.935E-02,-1.813E+00,4.322E+02,3.993E-02,3.993E-02,-1.753E+00,1.173E+02,5.737E-02,5.737E-02,-1.693E+00,2.357E+02,7.494E-02,1.001E-01,-1.633E+00,2.062E+02,3.264E-02,6.001E-01,-1.574E+00,1.794E+02,3.344E-02,1.030E+00,-1.514E+00,1.614E+02,3.852E-02,1.383E+00,-1.454E+00,1.484E+02,4.843E-02,1.663E+00,-1.394E+00,1.378E+02,6.986E-02,1.815E+00,-1.274E+00,1.091E+02,6.350E-01,6.485E-01,-1.155E+00,9.330E+01,9.035E-01,9.035E-01,-1.035E+00,3.720E+01,1.224E+00,1.224E+00,-9.155E-01,5.240E+01,1.612E+00,1.612E+00,-7.958E-01,9.720E+01,2.072E+00,2.072E+00,-8.212E-01,7.655E+01,1.968E+00,1.968E+00,-8.467E-01,4.531E+02,1.867E+00,1.867E+00,-8.721E-01,6.460E+01,1.770E+00,1.770E+00,-8.975E-01,9.970E+01,1.676E+00,1.676E+00,-9.229E-01,2.906E+02,1.586E+00,1.586E+00,-9.484E-01,6.435E+01,1.498E+00,1.498E+00,-9.738E-01,1.375E+02,1.414E+00,1.414E+00,-9.992E-01,1.599E+02,1.333E+00,1.333E+00,-1.025E+00,5.895E+01,1.256E+00,1.256E+00,-1.050E+00,7.860E+01,1.181E+00,1.181E+00,-1.075E+00,1.572E+02,1.109E+00,1.109E+00,-1.101E+00,1.159E+02,1.040E+00,1.040E+00,-1.126E+00,1.681E+02,9.742E-01,9.742E-01,-1.152E+00,1.748E+02,9.108E-01,9.108E-01,-1.177E+00,2.516E+02,8.502E-01,8.502E-01,-1.203E+00,1.127E+02,7.921E-01,7.921E-01,-1.228E+00,2.048E+02,7.366E-01,7.366E-01,-1.253E+00,1.064E+02,6.834E-01,6.836E-01,-1.279E+00,1.098E+02,6.193E-01,6.476E-01,-1.304E+00,1.154E+02,3.205E-01,1.014E+00,-1.330E+00,1.242E+02,1.548E-01,1.534E+00,-1.322E+00,1.218E+02,1.841E-01,1.417E+00,-1.314E+00,1.191E+02,2.279E-01,1.263E+00,-1.306E+00,1.161E+02,2.995E-01,1.062E+00,-1.298E+00,1.133E+02,4.144E-01,8.446E-01,-1.290E+00,1.116E+02,5.309E-01,6.981E-01,-1.282E+00,1.102E+02,6.025E-01,6.519E-01,-1.274E+00,1.091E+02,6.351E-01,6.486E-01,-1.267E+00,1.081E+02,6.555E-01,6.586E-01,-1.259E+00,1.071E+02,6.726E-01,6.734E-01,-1.243E+00,1.050E+02,7.054E-01,7.055E-01,-1.227E+00,5.355E+01,7.388E-01,7.388E-01,-1.211E+00,4.690E+01,7.731E-01,7.731E-01,-1.195E+00,1.956E+02,8.084E-01,8.084E-01,-1.180E+00,1.817E+02,8.446E-01,8.446E-01
alphadiss,-4.449E-01,1.225E+02,5.780E-01,5.803E-01,-4.360E-01,1.236E+02,5.598E-01,5.685E-01,-4.270E-01,1.248E+02,5.316E-01,5.655E-01,-4.181E-01,1.262E+02,4.815E-01,5.895E-01,-4.092E-01,1.278E+02,3.945E-01,6.818E-01,-4.003E-01,1.300E+02,2.987E-01,8.314E-01,-3.913E-01,1.327E+02,2.316E-01,9.819E-01,-3.824E-01,1.351E+02,1.892E-01,1.102E+00,-3.735E-01,1.373E+02,1.603E-01,1.194E+00,-3.646E-01,1.394E+02,1.391E-01,1.266E+00,-3.467E-01,1.431E+02,1.100E-01,1.362E+00,-3.289E-01,1.464E+02,9.107E-02,1.411E+00,-3.110E-01,1.495E+02,7.772E-02,1.427E+00,-2.932E-01,1.526E+02,6.785E-02,1.418E+00,-2.753E-01,1.557E+02,6.026E-02,1.391E+00,-2.654E-01,1.575E+02,5.676E-02,1.370E+00,-2.555E-01,1.594E+02,5.367E-02,1.345E+00,-2.455E-01,1.613E+02,5.091E-02,1.316E+00,-2.356E-01,1.634E+02,4.845E-02,1.284E+00,-2.257E-01,1.654E+02,4.624E-02,1.250E+00,-2.157E-01,1.676E+02,4.424E-02,1.212E+00,-2.058E-01,1.700E+02,4.244E-02,1.173E+00,-1.959E-01,1.724E+02,4.082E-02,1.130E+00,-1.859E-01,1.750E+02,3.935E-02,1.086E+00,-1.760E-01,1.778E+02,3.803E-02,1.039E+00,-1.661E-01,1.808E+02,3.684E-02,9.902E-01,-1.561E-01,1.839E+02,3.578E-02,9.388E-01,-1.462E-01,1.873E+02,3.486E-02,8.851E-01,-1.363E-01,1.909E+02,3.407E-02,8.288E-01,-1.264E-01,1.947E+02,3.342E-02,7.699E-01,-1.164E-01,1.988E+02,3.295E-02,7.081E-01,-1.065E-01,2.033E+02,3.267E-02,6.433E-01,-9.655E-02,2.080E+02,3.265E-02,5.753E-01,-8.662E-02,2.131E+02,3.300E-02,5.038E-01,-7.669E-02,2.184E+02,3.389E-02,4.289E-01,-6.675E-02,2.237E+02,3.569E-02,3.511E-01,-5.931E-02,2.275E+02,3.807E-02,2.916E-01,-5.187E-02,2.307E+02,4.210E-02,2.317E-01,-4.442E-02,2.328E+02,4.964E-02,1.717E-01,-3.698E-02,2.331E+02,6.553E-02,1.144E-01,-2.953E-02,2.329E+02,7.827E-02,8.587E-02,-2.209E-02,2.333E+02,7.721E-02,7.805E-02,-1.464E-02,2.335E+02,7.377E-02,7.383E-02,-7.199E-03,2.336E+02,7.016E-02,7.016E-02,2.449E-04,3.096E+02,6.673E-02,6.673E-02,1.513E-02,1.352E+02,6.049E-02,6.049E-02,3.002E-02,1.703E+02,5.500E-02,5.500E-02,4.491E-02,2.989E+02,5.018E-02,5.018E-02,5.980E-02,8.980E+01,4.593E-02,4.593E-02,7.469E-02,2.532E+02,4.220E-02,4.220E-02
phi0,-1.400E+00,1.367E+03,1.448E-02,1.448E-02,-1.356E+00,4.207E+02,2.019E-02,2.019E-02,-1.311E+00,5.093E+02,2.981E-02,2.981E-02,-1.267E+00,2.806E+02,4.838E-02,4.838E-02,-1.222E+00,2.359E+02,7.238E-02,1.084E-01,-1.177E+00,1.895E+02,3.189E-02,8.692E-01,-1.133E+00,1.589E+02,3.661E-02,1.513E+00,-1.088E+00,1.398E+02,4.991E-02,2.050E+00,-1.043E+00,1.238E+02,9.422E-02,2.243E+00,-9.988E-01,9.930E+01,7.159E-01,7.525E-01,-9.095E-01,5.180E+01,1.227E+00,1.227E+00,-8.203E-01,7.148E+01,1.939E+00,1.939E+00,-7.310E-01,2.440E+01,2.958E+00,2.958E+00,-6.418E-01,9.010E+01,4.398E+00,4.398E+00,-5.525E-01,4.910E+01,6.401E+00,6.401E+00,-5.751E-01,6.850E+01,5.833E+00,5.833E+00,-5.977E-01,4.650E+01,5.308E+00,5.308E+00,-6.202E-01,3.770E+01,4.824E+00,4.824E+00,-6.428E-01,3.827E+01,4.379E+00,4.379E+00,-6.653E-01,3.970E+01,3.969E+00,3.969E+00,-6.879E-01,4.032E+01,3.593E+00,3.593E+00,-7.105E-01,1.503E+02,3.248E+00,3.248E+00,-7.330E-01,7.150E+01,2.931E+00,2.931E+00,-7.556E-01,9.675E+00,2.641E+00,2.641E+00,-7.782E-01,3.160E+01,2.375E+00,2.375E+00,-8.007E-01,5.800E+01,2.133E+00,2.133E+00,-8.233E-01,7.170E+01,1.911E+00,1.911E+00,-8.458E-01,9.160E+01,1.708E+00,1.708E+00,-8.684E-01,1.840E+01,1.523E+00,1.523E+00,-8.910E-01,1.260E+01,1.355E+00,1.355E+00,-9.135E-01,1.143E+02,1.201E+00,1.201E+00,-9.361E-01,1.064E+02,1.061E+00,1.061E+00,-9.586E-01,1.289E+02,9.338E-01,9.338E-01,-9.812E-01,9.470E+01,8.177E-01,8.177E-01,-1.004E+00,1.008E+02,6.294E-01,8.073E-01,-1.026E+00,1.156E+02,1.539E-01,1.968E+00,-1.022E+00,1.129E+02,1.837E-01,1.824E+00,-1.018E+00,1.100E+02,2.282E-01,1.632E+00,-1.014E+00,1.067E+02,3.016E-01,1.376E+00,-1.009E+00,1.034E+02,4.299E-01,1.068E+00,-1.005E+00,1.013E+02,5.912E-01,8.442E-01,-1.001E+00,9.990E+01,6.899E-01,7.605E-01,-9.966E-01,9.860E+01,7.369E-01,7.532E-01,-9.923E-01,9.760E+01,7.627E-01,7.660E-01,-9.881E-01,9.650E+01,7.841E-01,7.849E-01,-9.796E-01,9.450E+01,8.258E-01,8.258E-01,-9.711E-01,1.139E+02,8.686E-01,8.686E-01,-9.626E-01,1.235E+02,9.129E-01,9.129E-01,-9.541E-01,1.780E+02,9.588E-01,9.588E-01,-9.456E-01,1.389E+02,1.006E+00,1.006E+00
