,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,fm,fd,Km,Kd,kbm,kbd,DNAtot,taum,taumRNA,period,DNA0_min,DNA0_max,DNAm_min,DNAm_max,mRNA_min,mRNA_max,m_min,m_max,d_min,d_max,selected,monotonicity_type
1,6.307,0.615,4.265,0.0551,0.8208,3.401,0.05074,0.02406,95.54,8.477,3.816,0.2619,21.9,1,0,0,1143.65,0.113779885,0.433502615,0.557756671,0.812833249,0.012532137,0.085455481,0.135041888,0.844967415,0.004319077,0.169571221,FALSE,0
2,4.769,0.6948,0.1879,0.0005965,0.03999,136.1,0.1232,0.001009,18.34,0.135,8.506,0.001431,10.1,1,0,0,336.9,0.271992995,0.541104276,0.419170237,0.557887641,0.671977146,2.380505093,4.615951777,16.33540681,0.00626017,0.078408081,FALSE,0
3,84.45,0.3769,3.812,0.000922,0.7672,5.709,0.01093,0.007699,44.62,7.989,2.015,0.08924,1.03,1,0,0,134.2,0.133158108,0.219744554,0.769568381,0.842890594,0.001736482,0.003776153,0.395152315,0.837779168,0.020976447,0.094318669,FALSE,0
4,58.63,0.3313,0.001255,0.0006483,0.9898,841.1,9.47,0.4063,8.28,22.41,0.05711,0.2479,0.0466,1,0,0,,,,,,,,,,,,FALSE,2
5,1.185,0.67,1.195,0.02785,0.8252,4.605,1.381,0.03381,39.48,1.702,0.1133,0.01785,46.5,1,0,0,114.3,0.156167223,0.2934059,0.695967362,0.811127425,0.528718287,2.146373942,0.94085491,3.540608015,0.157687166,2.232810992,FALSE,0
6,62.01,0.04065,0.003531,0.0005587,0.05423,787.9,6.058,41.25,0.1952,59.73,0.09305,0.8862,0.00169,1,0,0,,,,,,,,,,,,FALSE,1
7,0.3134,0.1448,0.6241,0.04488,0.05383,16.05,1.564,0.1928,75.07,0.244,0.1983,0.002738,0.916,1,0,0,264,0.200067485,0.38075505,0.608670403,0.766176869,2.655542296,8.002761841,5.750490443,16.58204283,0.110596093,0.919635354,FALSE,0
8,65.54,0.06425,0.001121,0.0009117,0.9413,313.4,5.738,0.04493,28.67,17.41,0.161,0.2198,0.00224,1,0,0,,,,,,,,,,,,FALSE,2
9,14.32,0.9323,2.361,0.004683,0.1959,2.896,0.1549,0.03311,32.45,0.3937,0.2853,0.005408,2.11,1,0,0,358.8,0.137420575,0.635313618,0.343367911,0.582973181,0.043867709,0.755451424,0.683218017,11.39682121,0.031538115,8.771759589,FALSE,0
10,0.8365,0.5953,1.305,0.001246,0.6646,13.99,0.1437,0.7873,73.5,3.951,8.2,0.05494,35.8,1,0,0,207.1,0.092542937,0.445956903,0.538706772,0.754622545,0.151989788,1.650801156,0.221000821,2.297603312,0.002315295,0.250842144,FALSE,0
11,15.58,0.7045,1.647,0.003207,0.3176,8.945,0.06391,0.001859,77.13,1.942,0.8161,0.02515,0.561,1,0,0,162,0.078140771,0.41850672,0.575924267,0.842817431,0.013641348,0.291440734,0.315824653,6.337694173,0.003542105,1.425685017,FALSE,0
12,28.11,0.01136,0.002147,0.0008768,0.7792,342,7.291,92,17.82,223.7,0.3856,10.25,0.00386,1,0,0,,,,,,,,,,,,FALSE,1
13,1.759,0.7941,1.313,0.004118,0.1324,555.2,8.831,0.365,41.76,0.1412,0.8979,0.003089,41.9,1,0,0,65.5,0.127782431,0.260096057,0.719950618,0.811295534,7.338403453,22.77954243,16.33082934,50.18939884,0.063598816,0.60070385,FALSE,0
14,80.8,0.6487,0.2701,0.01256,0.4366,64.54,0.04062,0.01447,69.99,0.1085,0.01311,0.001499,1.8,1,0,0,189.9,0.097814025,0.380351608,0.612494697,0.845150156,0.082110759,0.702284142,10.25840288,84.53470367,0.711753097,48.33259507,FALSE,2
15,10.56,0.3132,3.325,0.0105,0.02284,357.5,0.2917,0.06895,19.77,0.265,98.52,0.0041,40.1,1,0,0,221.2,0.32443222,0.450147004,0.502602876,0.578281988,0.11596434,0.208531456,3.918488121,7.020685461,0.000980863,0.003149166,FALSE,0
16,0.2005,0.6327,5.197,0.002627,0.2413,16.01,6.584,0.05258,26.09,2.913,21.56,0.03165,22.8,1,0,0,173.7,0.12128157,0.43766275,0.540550714,0.702733514,0.765881386,7.381845893,0.250175614,2.325460841,0.000942194,0.081554092,FALSE,0
17,116.2,0.008677,0.002277,0.001452,0.4031,676.5,1.597,0.1883,97.66,202.2,0.2239,2.086,0.196,1,0,0,,,,,,,,,,,,FALSE,0
18,31.59,0.5773,0.9965,0.06413,0.05844,6.452,0.05927,0.03131,20.12,0.4198,0.9133,0.00567,2.63,1,0,0,165.1,0.144514832,0.386918311,0.578918776,0.691585073,0.050483282,0.235557872,2.760882289,12.52266213,0.068349163,1.4064816,FALSE,0
19,23.3,0.4711,3.85,0.05115,0.07313,62.53,1.429,0.001136,57.03,0.2444,0.2152,0.003594,9.5,1,0,0,161.3,0.030698272,0.260512665,0.731666807,0.884651532,0.137269651,2.724142495,7.005856191,125.3833055,0.057354705,18.37089355,TRUE,0
20,0.5317,0.8721,0.7757,0.0007058,0.1041,19.21,2.236,0.01729,32.43,0.5385,2.308,0.01805,10.8,1,0,0,156.8,0.131000602,0.465288575,0.512153476,0.70534162,2.765794721,17.0187395,1.69642226,10.35101106,0.015588046,0.580632606,FALSE,0
21,82.76,0.001635,0.002155,0.0008609,0.3792,188.5,6.387,0.4173,72.32,957.7,0.6928,22.67,0.198,1,0,0,,,,,,,,,,,,FALSE,0
22,85.21,0.8135,6.964,0.000557,0.5001,683.9,0.6464,0.03218,53.72,0.1225,0.3647,0.002249,26.6,1,0,0,129.1,0.046809263,0.444547434,0.544595865,0.784002347,0.035258156,1.479868072,3.840825165,151.4032293,0.010787267,16.76234124,TRUE,0
23,1.024,0.9713,0.2947,0.06128,0.2819,137.8,9.91,0.001574,83.25,0.1368,0.02185,0.002451,16,1,0,0,92.3,0.111962122,0.254671293,0.740293105,0.871355377,16.80610902,58.89070758,17.68419221,60.93026502,0.639472965,7.591338533,FALSE,2
24,39.35,0.9535,5.877,0.001843,0.1362,107.6,0.9466,0.003823,43.08,0.2331,0.6324,0.00279,31.4,1,0,0,123.3,0.055527769,0.415624469,0.573515223,0.782923866,0.048497478,1.91065148,2.068330991,77.50582941,0.005414671,7.603791036,FALSE,0
25,103.9,0.004329,0.001306,0.0008878,0.9216,50.11,9.764,0.8907,76.88,648,0.09226,9.009,0.00465,1,0,0,,,,,,,,,,,,FALSE,0
26,20.66,0.5009,4.891,0.04869,0.5212,269.4,0.9293,0.1121,15.21,0.1762,0.8733,0.002466,3.92,1,0,0,,,,,,,,,,,,FALSE,0
27,117.6,0.01907,0.001077,0.0009437,0.2365,329.5,9.538,0.6778,28.7,591.1,2.593,14.27,1.23,1,0,0,,,,,,,,,,,,FALSE,0
28,92.82,0.004161,0.007937,0.0008793,0.784,800.1,7.55,5.667,55.36,533.5,2.423,11.85,0.0956,1,0,0,,,,,,,,,,,,FALSE,0